
[1.04, 24.09, 44.38, 70.81, 94.17, 123.34]

[1, 21.93, 42.23, 68.65, 92.01, 121.18]

[1, 20.71, 41.01, 67.43, 90.79, 119.96]

[1, 18.57, 38.87, 65.29, 88.65, 117.82]

[1, 17.15, 37.45, 63.87, 87.23, 116.4]

[1, 16.1, 36.39, 62.82, 86.18, 115.35]

[1.78, 15.65, 35.95, 62.37, 85.73, 114.9]

[1, 12.89, 33.18, 59.61, 82.97, 112.13]

[1, 11.32, 31.61, 58.04, 81.4, 110.57]

[1, 9.39, 29.68, 56.11, 79.47, 108.64]

[1, 6.4, 26.7, 53.12, 76.48, 105.65]

[1, 5.0, 25.29, 51.72, 75.08, 104.25]

[1.11, 3.37, 23.66, 50.09, 73.45, 102.62]

[1.5, 1.88, 22.17, 48.6, 71.96, 101.13]

[0.0, 1, 20.29, 46.72, 70.08, 99.25]

[0.0, 1.38, 18.34, 44.77, 68.13, 97.3]

[0.0, 1, 15.87, 42.3, 65.66, 94.83]

[0.0, 1, 14.99, 41.42, 64.78, 93.94]

[0.0, 1, 13.44, 39.87, 63.23, 92.4]

[0.0, 1, 12.07, 38.49, 61.85, 91.02]

[0.0, 1.06, 10.62, 37.05, 60.41, 89.58]

[0.0, 1.07, 8.66, 35.09, 58.45, 87.62]

[0.0, 1, 6.4, 32.83, 56.19, 85.36]

[0.0, 1, 4.92, 31.34, 54.7, 83.87]

[0.0, 1, 3.74, 30.16, 53.52, 82.69]

[0.0, 1, 2.09, 28.52, 51.88, 81.05]

[0.0, 0.0, 1, 27.21, 50.57, 79.74]

[0.0, 0.0, 1, 25.83, 49.19, 78.36]

[0.0, 0.0, 1.05, 24.87, 48.23, 77.4]

[0.0, 0.0, 1.46, 23.61, 46.97, 76.14]

[0.0, 0.0, 1, 21.85, 45.21, 74.38]

[0.0, 0.0, 1, 21.04, 44.4, 73.56]

[0.0, 0.0, 1, 19.83, 43.19, 72.36]

[0.0, 0.0, 1, 18.48, 41.84, 71.0]

[0.0, 0.0, 1.38, 16.8, 40.16, 69.33]

[0.0, 0.0, 1.82, 15.17, 38.53, 67.69]

[0.0, 0.0, 1, 13.16, 36.52, 65.69]

[0.0, 0.0, 1, 11.87, 35.23, 64.39]

[0.0, 0.0, 1.33, 11.16, 34.52, 63.69]

[0.0, 0.0, 1, 9.16, 32.52, 61.68]

[0.0, 0.0, 1, 8.86, 32.22, 61.39]

[0.0, 0.0, 1, 7.72, 31.08, 60.25]

[0.0, 0.0, 1, 7.21, 30.57, 59.74]

[0.0, 0.0, 1, 7.1, 30.46, 59.63]

[0.0, 0.0, 1, 5.7, 29.06, 58.22]

[0.0, 0.0, 1, 4.47, 27.83, 57.0]

[0.0, 0.0, 1, 2.61, 25.97, 55.14]

[0.0, 0.0, 1, 2.61, 25.97, 55.13]

[0.0, 0.0, 0.0, 1.61, 24.98, 54.14]

[0.0, 0.0, 0.0, 1, 22.0, 51.16]

[0.0, 0.0, 0.0, 1, 20.27, 49.44]

[0.0, 0.0, 0.0, 1, 18.56, 47.73]

[0.0, 0.0, 0.0, 1.3, 16.86, 46.02]

[0.0, 0.0, 0.0, 1.24, 14.1, 43.27]

[0.0, 0.0, 0.0, 1.2, 11.55, 40.72]

[0.0, 0.0, 0.0, 1, 10.28, 39.45]

[0.0, 0.0, 0.0, 1, 9.05, 38.22]

[0.0, 0.0, 0.0, 1, 7.28, 36.45]

[0.0, 0.0, 0.0, 1, 5.58, 34.75]

[0.0, 0.0, 0.0, 1.1, 3.3, 32.47]

[0.0, 0.0, 0.0, 0.0, 1, 30.11]

[0.0, 0.0, 0.0, 0.0, 1, 28.78]

[0.0, 0.0, 0.0, 0.0, 1, 27.38]

[0.0, 0.0, 0.0, 0.0, 1, 26.71]

[0.0, 0.0, 0.0, 0.0, 1, 25.63]

[0.0, 0.0, 0.0, 0.0, 1, 25.02]

[0.0, 0.0, 0.0, 0.0, 1, 22.66]

[0.0, 0.0, 0.0, 0.0, 1, 21.55]

[0.0, 0.0, 0.0, 0.0, 1, 18.01]

[0.0, 0.0, 0.0, 0.0, 1, 17.23]

[0.0, 0.0, 0.0, 0.0, 1, 16.71]

[0.0, 0.0, 0.0, 0.0, 1.3, 16.14]

[0.0, 0.0, 0.0, 0.0, 1, 14.36]

[0.0, 0.0, 0.0, 0.0, 1, 13.86]

[0.0, 0.0, 0.0, 0.0, 1, 13.52]

[0.0, 0.0, 0.0, 0.0, 1, 12.84]

[0.0, 0.0, 0.0, 0.0, 1.0, 12.47]

[0.0, 0.0, 0.0, 0.0, 2.23, 11.06]

[0.0, 0.0, 0.0, 0.0, 1.0, 8.81]

[0.0, 0.0, 0.0, 0.0, 1, 7.4]

[0.0, 0.0, 0.0, 0.0, 1, 7.02]

[0.0, 0.0, 0.0, 0.0, 1, 5.55]

[0.0, 0.0, 0.0, 0.0, 1, 4.46]

[0.0, 0.0, 0.0, 0.0, 1, 2.45]

[0.0, 0.0, 0.0, 0.0, 0.0, 1.53]

[0.0, 0.0, 0.0, 0.0, 0.0, 4.67]

[0.0, 0.0, 0.0, 0.0, 0.0, 3.23]

[0.0, 0.0, 0.0, 0.0, 0.0, 1]

[0.0, 0.0, 0.0, 0.0, 0.0, 1.73]

[0.0, 0.0, 0.0, 0.0, 0.0, 1]

[0.0, 0.0, 0.0, 0.0, 0.0, 1]

[0.0, 0.0, 0.0, 0.0, 0.0, 1]

[0.0, 0.0, 0.0, 0.0, 0.0, 1]
